,active_ingredients,inactive_ingredients,product,price,active_smiles,inactive_smiles,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_hdrzone,fr_phos_acid,fr_pyridine,fr_sulfonamd,fr_unbrch_alkane,fr_NH1,fr_Ndealkylation1,fr_quatN,fr_alkyl_halide,NumAliphaticCarbocycles,fr_Ar_NH,fr_Nhpyrrole,fr_epoxide,NumSaturatedCarbocycles,fr_Ar_OH,fr_ketone,fr_ketone_Topliss,fr_nitrile,fr_phenol,fr_phenol_noOrthoHbond,fr_urea,fr_Ndealkylation2,fr_methoxy,fr_lactone,fr_sulfide,fr_NH2,fr_para_hydroxylation,fr_Imine,fr_guanido,fr_phos_ester,fr_ArN,fr_furan,fr_hdrzine,fr_nitro,fr_priamide,fr_imidazole,fr_N_O,fr_imide,fr_sulfone,fr_SH,fr_thiocyan,fr_nitroso,product_id,pack,oz
98,"['sodium fluoride','sorbitol','water','hydrated silica','peg','cellulose gum','sodium saccharin','sodium lauryl sulfate','fd&c blue no.1']",[],(2 pack) ORAJEL,1.235,"['[F-].[Na+]','C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','C(CO)O','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','fd&c blue no.1']",[],71,18,28,1,1,1,0,1,22,14,36,1,23,0,0,403,2,1,13,13,0,0,1,1,3,2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413040726,2,toFind
189,"['sodium monofluorophosphate','s glycerin','water','calcium carbonate','hydrated silica','carrageenan','sodium lauryl sulfate']",[],Tom's Of Maine Silly Strawberry Anticavity Toothpaste 3 Pack,3.29,"['[O-]P(=O)([O-])F.[Na+].[Na+]','s glycerin','O','C(=O)([O-])[O-].[Ca+2]','O.[O-2].[O-2].[Si+4]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]']",[],71,7,25,0,1,1,1,2,19,3,35,0,17,0,1,378,3,2,0,0,0,1,2,4,5,5,2,0,0,2,1,0,0,1,0,0,0,2,0,0,1,0,9,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666267496,3,4.2
205,"['glycerin','water','calcium carbonate','hydrated silica','carrageenan','sodium lauryl sulfate strawberry juice and other']",[],Tom's Of Maine Silly Strawberry Fluoride Free Toothpaste 3 Pack,3.223,"['C(C(CO)O)O','O','C(=O)([O-])[O-].[Ca+2]','O.[O-2].[O-2].[Si+4]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','sodium lauryl sulfate strawberry juice and other']",[],52,10,21,0,1,1,1,2,15,6,25,0,7,0,1,280,3,2,3,3,0,1,2,4,5,5,2,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428615658,3,4.2
209,['sodium fluoride'],"['sodium bicarbonate (baking soda)','peg-8','peg/ppg-116/66 copolymer','sodium carbonate peroxide','tetrasodium pyrophosphate','silica','sodium saccharin','flavor','water','sodium lauryl sulfate','sodium lauroyl sarcosinate']",(4 pack) ARM & HAMMER PeroxiCare Toothpaste,2.61,['[F-].[Na+]'],"['sodium bicarbonate (baking soda)','peg-8','peg/ppg-116/66 copolymer','C(=O)([O-])[O-].C(=O)([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+]','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','O=[Si]=O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','flavor','O','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]']",88,8,34,1,1,1,0,1,31,6,52,0,26,0,0,456,2,1,0,0,0,0,1,5,5,5,2,0,0,2,0,0,0,1,1,0,0,1,0,2,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520994821,4,toFind
218,"['sodium fluoride','cetylpyridinium chloride','citric acid','d&c red 33','disodium edta','disodium phosphate','menthol','poloxamer 407','polysorbate 80','propylene glycol','purified water','sodium benzoate','sodium phosphate','sorbitol','sucralose','xylitol','sodium fluoride']","['sorbitol','water','hydrated silica','sodium lauryl sulfate','trisodium phosphate','sodium phosphate','cellulose gum','flavor','sodium saccharin','carbomer','mica','titanium dioxide','fd&c blue no.1']","Firefly Shopkins Kids Toothbrushes, Toothpaste and Mouthwash Oral Care Holiday Gift Set",9.88,"['[F-].[Na+]','CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]','C(C(=O)O)C(CC(=O)O)(C(=O)O)O','C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+]','C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O','OP(=O)([O-])[O-].[Na+].[Na+]','CC1CCC(C(C1)O)C(C)C','CC1CO1.C1CO1','CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1C(CC(O1)OCCO)OCCO)OCCO','CC(CO)O','O','C1=CC=C(C=C1)C(=O)[O-].[Na+]','[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]','C(C(C(C(C(CO)O)O)O)O)O','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','C(C(C(C(CO)O)O)O)O','[F-].[Na+]']","['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]','[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','flavor','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C=CC(=O)O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','O=[Ti]=O','fd&c blue no.1']",326,53,117,6,7,5,1,6,99,46,157,1,107,5,6,1787,13,9,34,33,1,1,10,10,13,4,6,1,2,1,1,1,1,5,2,1,11,6,0,4,1,1,33,0,0,0,3,1,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,809999926,1,toFind
250,"['arginine bicarbonate','benzyl alcohol','calcium carbonate','hydrated silica','sodium bicarbonate','sodium lauryl sulfate','sorbitol','titanium dioxide','water','gum xanthan','xylitol peppermint oil and other']",[],"Tom's of Maine Rapid Relief Sensitive Natural Toothpaste, Fresh Mint, 2 Pack",11.94,"['C(CC(C(=O)O)N)CN=C(N)N.C(=O)(O)O','C1=CC=C(C=C1)CO','C(=O)([O-])[O-].[Ca+2]','O.[O-2].[O-2].[Si+4]','C(=O)(O)[O-].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','C(C(C(C(C(CO)O)O)O)O)O','O=[Ti]=O','O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','xylitol peppermint oil and other']",[],139,34,61,6,6,1,0,1,49,27,69,0,39,6,6,796,7,3,18,18,0,0,3,9,7,2,1,0,0,0,0,0,0,1,1,1,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,410455879,2,4
258,"['glycerin','propanediol','hydrated silica','water','zylitol','benzyl alcohol','carrageenan','citric acid']",[],"Tom's of Maine Toddler Toothpaste and Toothbrush, Mild Fruit",7.2,"['C(C(CO)O)O','CCC(O)O','O.[O-2].[O-2].[Si+4]','O','zylitol','C1=CC=C(C=C1)CO','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','C(C(=O)O)C(CC(=O)O)(C(=O)O)O']",[],73,17,28,0,1,2,1,3,19,13,31,0,14,0,1,404,4,5,7,5,0,1,5,5,7,4,2,0,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921432139,1,toFind
263,"['vegetable glycerin','sorbitol','purified water','aloe vera gel','hydrated silica','xylitol','erythritol','gum xanthan','calcium glycerophosphate']",[],hello organic apple toddler training toothpaste,3.88,"['vegetable glycerin','C(C(C(C(C(CO)O)O)O)O)O','O','aloe vera gel','O.[O-2].[O-2].[Si+4]','C(C(C(C(CO)O)O)O)O','C(C(C(CO)O)O)O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C(C(COP(=O)([O-])[O-])O)O.[Ca+2]']",[],113,34,54,6,6,0,0,0,48,30,59,0,32,6,6,666,6,2,28,28,0,0,2,2,3,1,0,0,0,0,0,0,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,684021470,1,1.5
273,['sodium fluoride'],"['sorbitol','water','hydrated silica','disodium pytophosphate','sodium lauryl sulfate','sodium hydroxide','flavor','gum xanthan','sodium saccharin','carbomer','copernicia cerifera (carnauba) wax','titanium dioxide','fd&c blue no.1','yellow 5']",Crest Complete Whitening + Deep Clean Effervescent Mint Toothpaste (Choose Count),9.25,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[OH-].[Na+]','flavor','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C=CC(=O)O','copernicia cerifera (carnauba) wax','O=[Ti]=O','fd&c blue no.1','C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",172,27,72,8,8,3,0,3,61,22,92,0,42,6,6,936,11,4,17,17,0,0,4,4,7,4,5,0,0,2,1,0,1,3,2,1,12,1,1,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17167870,1,6.2
285,['sodium fluoride'],"['sorbitol','water','hydrated silica','disodium pytophosphate','flavor','sodium lauryl sulfate','sodium hydroxide','alcohol (0.7%)','gum xanthan','sodium saccharin','glycerin','carbomer','poloxamer 407','polysorbate 80','sodium benzoate','cetylpyridinium chloride','benzoic acid','mica','titanium dioxide','fd&c blue no.1','yellow 5']",Crest Complete Whitening + Scope Outlast Mint Toothpaste (Choose Count),4.82,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[OH-].[Na+]','alcohol (0.7%)','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C(CO)O)O','C=CC(=O)O','CC1CO1.C1CO1','CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1C(CC(O1)OCCO)OCCO)OCCO','C1=CC=C(C=C1)C(=O)[O-].[Na+]','CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]','C1=CC=C(C=C1)C(=O)O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','O=[Ti]=O','fd&c blue no.1','C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",280,34,98,11,11,5,1,6,84,29,125,0,93,9,9,1538,17,4,23,23,2,1,6,6,10,6,6,0,2,2,1,1,1,5,2,2,20,2,1,2,1,1,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15580435,1,5.8
290,"['calcium carbonate','sorbitol','water','glycerin','silica','sodium lauroyl glutamate','xylitol','gum xanthan','cyamopsis tetragonoloba gum','vitis vinifera seed oil','glycyrrhiza glabra root','foeniculum vulgare','eugenia caryophyllus bud oil','azadirachta lndica leaf','azadirachta lndica bark','mentha piperita oil','potassium sorbate','mentha viridis oil','ascorbic acid made with certified','supercritical extracts']",[],Organix South Theraneem Organix Neem Toothpaste Neem Therape with Mint,10.92,"['C(=O)([O-])[O-].[Ca+2]','C(C(C(C(C(CO)O)O)O)O)O','O','C(C(CO)O)O','O=[Si]=O','CCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)[O-].[Na+]','C(C(C(C(CO)O)O)O)O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','cyamopsis tetragonoloba gum','vitis vinifera seed oil','glycyrrhiza glabra root','CCCCCCCCCCCC=CCCCCC(=O)O.CC=CC1=CC=C(C=C1)OC.CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O','eugenia caryophyllus bud oil','azadirachta lndica leaf','azadirachta lndica bark','CC1CCC2(CC1)C(CO2)C.CC1CCC(C(C1)O)C(C)C.CC1CCC(C(C1)OC(=O)C)C(C)C.CC1CCC(C(=O)C1)C(C)C.CC1CCC2=C(C1)OC=C2C.CC1CCC(=C(C)C)C(=O)C1','CC=CC=CC(=O)[O-].[K+]','mentha viridis oil','ascorbic acid made with certified','supercritical extracts']",[],267,34,69,8,14,2,1,3,63,32,75,0,77,7,12,1532,17,6,26,26,0,0,6,8,12,8,0,0,8,1,0,2,0,2,3,2,16,0,0,0,0,0,17,1,0,0,0,6,0,0,0,5,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,171739292,1,4.23
335,"['coconut activated charcoal','calcium bentonite clay','coconut oil','essential oil']",[],All Natural Activated Charcoal Toothpaste and Teeth Whitening with Coconut Charcoal and Essential Oil,9.99,"['coconut activated charcoal','calcium bentonite clay','coconut oil','essential oil']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429877253,1,5
344,"['glycerin','hydrated silica','sorbitol','aloe barbadensis leaf juice','water','sodium lauroyl sarcosinate','xylitol','quillaja saponaria root extract','camellia sinensis leaf extract','punica granatum fruit extract','vaccinium macrocarpon fruit extract','vitis vinifera seed extract','zingiber officinale root extract','cellulose gum','calcium glycerophosphate','bisabolol','menthol','benzoic acid']",[],"Nature's Gate Natural Toothpaste without Fluoride, Wintergreen Gel (Pack of 6)",5.332,"['C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','C(C(C(C(C(CO)O)O)O)O)O','aloe barbadensis leaf juice','O','CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]','C(C(C(C(CO)O)O)O)O','quillaja saponaria root extract','camellia sinensis leaf extract','punica granatum fruit extract','vaccinium macrocarpon fruit extract','vitis vinifera seed extract','CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC.CCCCCC(C)CC(=O)CCC1=CC(=C(C=C1)O)OC','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C(C(COP(=O)([O-])[O-])O)O.[Ca+2]','CC1=CCC(CC1)C(C)(CCC=C(C)C)O','CC1CCC(C(C1)O)C(C)C','C1=CC=C(C=C1)C(=O)O']",[],158,31,46,0,2,3,0,3,39,27,51,1,57,0,1,909,5,2,23,22,1,0,3,3,7,5,1,1,6,1,0,2,0,3,0,0,2,0,0,1,0,0,10,0,1,0,0,2,0,0,0,1,2,2,1,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353927148,6,5
